"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A940","ARIQUEMES","RO",-9.949,-62.9619,128.44,"2008-07-18","2022-12-31"
"A135","BOA VISTA","RR",2.8169,-60.6908,82.35,"2010-08-26","2022-12-31"
"A009","PALMAS","TO",-10.1478,-48.3144,267,"2004-12-17","2022-12-31"
"A010","PARANA","TO",-12.6149,-47.8719,284.96,"2005-03-04","2022-12-31"
"A018","PEIXE","TO",-12.0154,-48.5445,250.87,"2006-12-01","2022-12-31"
"A019","GURUPI","TO",-11.745,-49.0517,274,"2006-12-20","2022-12-31"
"A020","PEDRO AFONSO","TO",-8.9687,-48.1772,189.71,"2007-01-23","2022-12-31"
"A021","ARAGUAINA","TO",-7.1039,-48.2012,230.76,"2007-01-26","2022-12-31"
"A038","DIANOPOLIS","TO",-11.5944,-46.8472,727.87,"2008-08-30","2022-12-31"
"A039","FORMOSO DO ARAGUAIA","TO",-11.8875,-49.6082,215.2,"2008-04-27","2022-12-31"
"A040","MATEIROS","TO",-10.4344,-45.9219,791,"2012-10-25","2022-12-31"
"A041","MARIANOPOLIS DO TO","TO",-9.5764,-49.7233,186.69,"2012-11-24","2022-12-31"
"A043","CAMPOS LINDOS","TO",-8.1547,-46.6394,426.56,"2012-10-29","2022-12-31"
"A044","ARAGUATINS","TO",-5.6437,-48.1119,130.71,"2009-03-12","2022-12-31"
"A048","SANTA FE DO ARAGUAIA","TO",-7.1242,-48.7813,171,"2016-07-30","2022-12-31"
"A049","COLINAS DO TOCANTINS","TO",-8.0927,-48.4786,200,"2016-11-11","2022-12-31"
"A050","RIO SONO","TO",-9.7934,-47.1327,291,"2016-08-03","2022-12-31"
"A051","PIUM","TO",-10.4769,-49.6295,161,"2016-04-06","2022-12-31"
"A052","SANTA ROSA DO TOCANTINS","TO",-11.4289,-48.185,306,"2015-08-14","2022-12-31"
"A053","ALMAS","TO",-11.2841,-47.2121,503,"2016-04-01","2022-12-31"
"A054","ARAGUACU","TO",-12.5922,-49.5287,231,"2015-08-19","2022-12-31"
"A055","LAGOA DA CONFUSAO","TO",-10.8283,-49.8479,178,"2016-11-15","2022-12-31"
"A303","MACEIO","AL",-9.5512,-35.7702,84.12,"2003-02-25","2022-12-31"
"A323","PAO DE ACUCAR","AL",-9.7492,-37.4308,20.83,"2007-07-14","2022-12-31"
"A327","PALMEIRA DOS INDIOS","AL",-9.4203,-36.6203,278.01,"2007-07-11","2022-12-31"
"A353","ARAPIRACA","AL",-9.8044,-36.6192,236.84,"2008-04-27","2022-12-31"
"A355","CORURIPE","AL",-10.1286,-36.2864,82.39,"2008-09-06","2022-12-31"
"A356","SAO LUIS DO QUITUNDE","AL",-9.2875,-35.5659,13.69,"2008-09-08","2022-12-31"
"A371","PIRANHAS","AL",-9.6223,-37.7671,187,"2017-09-20","2022-12-31"
