"Date","Tair_mean (c)","Tair_min (c)","Tair_max (c)","Dew_tmean (c)","Dew_tmin (c)","Dew_tmax (c)","Dry_bulb_t (c)","Rainfall (mm)","Patm (mB)","Rh_mean (porc)","Rh_max (porc)","Rh_min (porc)","Ws_10 (m s-1)","Ws_2 (m s-1)","Ws_gust (m s-1)","Wd (degrees)","Sr (Mj m-2 day-1)","DOY","Ra (Mj m-2 day-1)","Station_code","Station","UF","Longitude (degrees)","Latitude (degrees)","Altitude (m)","eto"
2001-03-05,19.8958333333333,17.2,26.6,17.6166666666667,15.9,20.3,19.8333333333333,12.8,886.825,87.5,96,54,1.6375,1.22440674840055,12.1,186.333333333333,11.536,64,38.3711006212872,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,2.86428617361708
2001-03-06,21.35625,18.3,27,16.9479166666667,13.3,18.7,21.3125,4,887.6,78.5,96,44,1.95416666666667,1.46118769720066,8.6,176.958333333333,19.005,65,38.2680053010638,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.16174229780804
2001-03-07,20.29375,17.5,25.9,17.3875,15.6,19.1,20.3,1.6,889.5,83.9583333333333,96,55,1.72083333333333,1.28671752440058,6.7,197.583333333333,17.754,66,38.162805137559,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.67426911632328
2001-03-08,22.3041666666667,17.8,28.8,16.9708333333333,13.5,19.1,22.2875,0,888.204166666667,73.9166666666667,95,41,1.79583333333333,1.3427972228006,9.3,184.541666666667,21.233,67,38.0555165087612,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.58196310769615
2001-03-09,21.6895833333333,17.6,27.8,17.05625,14.7,18.7,21.725,0,886.304166666667,75.4583333333333,95,46,1.69166666666667,1.26490875280057,7,127.708333333333,18.989,68,37.9461579702103,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.09304960122089
2001-03-10,21.3875,17.8,27.1,17.5208333333333,15.2,19.2,21.3625,20,884.65,80.125,96,49,2.21666666666667,1.65746664160075,11.2,263.125,20.249,69,37.8347502611704,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.31073572547301
2001-03-11,19.73125,17.5,23,17.9541666666667,16.8,19.7,19.6958333333333,61.2,884.1375,89.75,97,72,2.16666666666667,1.62008017600073,7,291.333333333333,10.655,70,37.7213163075471,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,2.38704276699588
2001-03-12,19.49375,17.6,24.2,17.8875,16.5,19.2,19.4666666666667,18,884.5,90.9166666666667,97,66,2.95,2.20580147040099,9.5,143.958333333333,9.531,71,37.6058812215437,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,2.50541003171309
2001-03-13,18.83125,17.3,22.7,17.6375,16.2,19.4,18.8208333333333,24.2,885.5625,92.875,96,74,3.50416666666667,2.62016813080118,10,34.4166666666667,9.537,72,37.4884722980556,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,2.30306693370105
2001-03-14,19.6458333333333,17.6,22.1,16.98125,15.5,18.2,19.6375,6.6,886.370833333333,84.6666666666667,96,69,3.25833333333333,2.4363513416011,9.3,43.0416666666667,9.637,73,37.3691190078107,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,2.39713085932783
2001-03-15,20.2104166666667,16,25.2,17.125,14.7,20.3,20.3166666666667,4.2,887.258333333333,82.25,94,63,2.5875,1.93474959480087,10.6,96.5416666666667,17.674,74,37.2478529872713,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.62078674665687
2001-03-16,21.375,17.9,27,16.9291666666667,14.9,18.3,21.4333333333333,0.2,888.179166666667,76.6666666666667,93,49,3.02916666666667,2.26499670760102,8.6,92.125,19.921,75,37.1247080253166,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.47639114354269
